CAL,MIDA,MIDW,TEX
301.35,372.03,472.33,357.12
307.82,364.09,480.93,354.64
308.26,365.67,474.37,338.41
313.96,361.77,459.93,331.85
318.63,361.75,454.8,329.71
323.05,358.72,447.79,329.14
319.65,354.4,447.95,330.14
312.78,351.59,447.63,326.95
307.96,350.73,462.36,322.14
305.55,352.93,466.53,321.27
297.55,358.46,474.68,333.08
298.11,363.94,478.43,350.0
299.81,368.16,491.07,368.42
302.86,372.01,500.77,382.49
307.17,372.31,502.15,391.39
291.55,371.86,499.9,390.78
229.69,372.04,503.3,370.45
190.78,369.57,513.01,343.95
168.63,365.55,516.3,338.75
166.45,361.63,515.17,350.5
166.94,358.64,514.1,362.18
170.59,358.44,512.71,381.78
184.48,357.46,505.67,400.68
226.85,361.72,501.1,441.74
